# Prior-league stats for players without Liiga history (researched from public sources).
# rate (goals/games) is translated to Liiga via data/league_factors.csv.
player_id,name,birth_year,season,league,games,goals,assists,position
,Valtteri Piironen,2001,2022,USHL,47,1,2,D
,Valtteri Piironen,2001,2023,NCAA,32,1,9,D
,Valtteri Piironen,2001,2024,NCAA,31,3,9,D
,Valtteri Piironen,2001,2025,NCAA,34,1,11,D
,Valtteri Piironen,2001,2026,NCAA,29,1,6,D
,Reece Newkirk,2001,2022,ECHL,36,11,17,F
,Reece Newkirk,2001,2023,ECHL,50,18,18,F
,Reece Newkirk,2001,2024,ECHL,16,8,6,F
,Reece Newkirk,2001,2025,AHL,17,1,2,F
,Reece Newkirk,2001,2026,ECHL,52,19,32,F
,Markus Hännikäinen,1993,2022,KHL,44,5,11,F
,Markus Hännikäinen,1993,2023,SHL,46,8,11,F
,Markus Hännikäinen,1993,2024,DEL,51,7,15,F
,Markus Hännikäinen,1993,2025,DEL,47,12,12,F
,Markus Hännikäinen,1993,2026,Czechia,43,7,11,F
,Jani Lajunen,1990,2022,SHL,50,9,16,F
,Jani Lajunen,1990,2023,SHL,48,5,16,F
,Jani Lajunen,1990,2024,Czechia,39,3,14,F
,Jani Lajunen,1990,2025,Czechia,51,8,12,F
,Jani Lajunen,1990,2026,Czechia,6,1,3,F
,Petr Fridrich,2000,2022,Czechia,56,10,9,F
,Petr Fridrich,2000,2023,Czechia,51,11,9,F
,Petr Fridrich,2000,2024,Czechia,52,8,11,F
,Petr Fridrich,2000,2025,Czechia,49,13,19,F
,Petr Fridrich,2000,2026,Czechia,52,21,11,F
,Malte Setkov,1999,2022,Allsvenskan,51,4,21,D
,Malte Setkov,1999,2023,Denmark,38,3,17,D
,Malte Setkov,1999,2024,Denmark,45,6,25,D
,Malte Setkov,1999,2025,Denmark,48,9,29,D
,Malte Setkov,1999,2026,Denmark,44,13,19,D
,Andrew Peski,1997,2022,ECHL,44,4,12,D
,Andrew Peski,1997,2023,ECHL,49,3,13,D
,Andrew Peski,1997,2024,ECHL,35,1,10,D
,Andrew Peski,1997,2025,Denmark,54,6,16,D
,Andrew Peski,1997,2026,Denmark,45,3,9,D
,Chad Nychuk,2001,2022,CHL,64,21,50,D
,Chad Nychuk,2001,2023,ECHL,36,4,17,D
,Chad Nychuk,2001,2024,ECHL,24,1,11,D
,Chad Nychuk,2001,2025,AHL,27,0,4,D
,Chad Nychuk,2001,2026,ECHL,66,8,45,D
,Chris Harpur,1996,2022,NCAA,35,3,14,D
,Chris Harpur,1996,2023,ECHL,72,2,9,D
,Chris Harpur,1996,2024,ECHL,28,3,6,D
,Chris Harpur,1996,2025,ECHL,44,2,9,D
,Chris Harpur,1996,2026,ECHL,19,0,3,D
,Nick Zabaneh,2001,2022,NCAA,30,1,9,F
,Nick Zabaneh,2001,2023,NCAA,35,8,4,F
,Nick Zabaneh,2001,2024,NCAA,40,8,8,F
,Nick Zabaneh,2001,2025,AHL,31,2,2,F
,Nick Zabaneh,2001,2026,ECHL,69,27,24,F
,Isak Walther,2001,2022,NCAA,35,3,5,F
,Isak Walther,2001,2023,NCAA,36,9,10,F
,Isak Walther,2001,2024,NCAA,24,5,7,F
,Isak Walther,2001,2025,NCAA,33,7,11,F
,Isak Walther,2001,2026,ECHL,62,23,20,F
,Luke Grainger,1999,2022,NCAA,39,8,7,F
,Luke Grainger,1999,2023,NCAA,38,12,20,F
,Luke Grainger,1999,2024,NCAA,38,14,34,F
,Luke Grainger,1999,2025,ECHL,36,9,12,F
,Luke Grainger,1999,2026,ECHL,63,19,10,F
,Simon Pinard,2001,2022,CHL,37,25,26,F
,Simon Pinard,2001,2023,OTHER,29,19,10,F
,Simon Pinard,2001,2024,ECHL,59,24,24,F
,Simon Pinard,2001,2025,ECHL,63,33,31,F
,Simon Pinard,2001,2026,ECHL,70,30,43,F
,Kristo Pitkänen,2004,2023,Liiga-U20,11,8,10,F
,Kristo Pitkänen,2004,2024,Liiga-U20,22,16,17,F
,Kristo Pitkänen,2004,2025,OTHER,59,11,28,F
,Kristo Pitkänen,2004,2026,Mestis,49,15,15,F
,Aleksi Pakaslahti,2002,2022,Liiga-U20,6,2,4,D
,Aleksi Pakaslahti,2002,2023,Liiga-U20,13,7,13,D
,Aleksi Pakaslahti,2002,2024,Liiga-U20,16,5,19,D
,Aleksi Pakaslahti,2002,2025,Mestis,44,4,16,D
