Name,Position,Price
Huuhtanen Niko,Forward,350 000€
Joki Atte,Forward,230 000€
Lehterä Jori,Forward,365 000€
Leppänen Ottoville,Forward,250 000€
Leschyshyn Jake,Forward,380 000€
Liukas Eetu,Forward,300 000€
Marleau Vincent,Forward,385 000€
Mäkiaho Daniel,Forward,325 000€
Pakarinen Iiro,Forward,320 000€
Repo Sebastian,Forward,395 000€
Somervuori Jere,Forward,240 000€
Uronen Anttoni,Forward,245 000€
Vanhatalo Lassi,Forward,255 000€
Alitalo Vili,Forward,220 000€
De Jong Ethan,Forward,300 000€
Hakulinen Anrei,Forward,340 000€
Huttunen Heikki,Forward,260 000€
Kainulainen Harri,Forward,265 000€
Kopiloff Oliver,Forward,225 000€
Korhonen Olli,Forward,265 000€
Kukuca Andrej,Forward,240 000€
MacEachern Connor,Forward,330 000€
Mäkinen Ilari,Forward,195 000€
Oden Joonas,Forward,305 000€
Päivärinta Sami,Forward,355 000€
Ranford Brendan,Forward,290 000€
Tallqvist Rasmus,Forward,220 000€
Vesterinen Roope,Forward,255 000€
Borg Erik,Forward,290 000€
Engberg Teemu,Forward,265 000€
Haatanen Aleks,Forward,285 000€
Heikkinen Iivari,Forward,230 000€
Henman Luke,Forward,345 000€
Hynninen Topias,Forward,280 000€
Jasek Lukas,Forward,415 000€
Järvinen Jan-Mikael,Forward,330 000€
Korhonen Benjamin,Forward,290 000€
Kos Ondrej,Forward,250 000€
Lantta Jaakko,Forward,245 000€
Laurell Eemil,Forward,215 000€
Lööke Jens,Forward,390 000€
Teuho-Markkola Timi,Forward,235 000€
Török Matic,Forward,360 000€
Curry Patrick,Forward,390 000€
Forslund Alexander,Forward,335 000€
Fortier Maxime,Forward,400 000€
Henriksson Jere,Forward,240 000€
Hännikäinen Markus,Forward,250 000€
Kalapudas Antti,Forward,355 000€
Kallio Bruno,Forward,200 000€
Kuusla Emil,Forward,295 000€
Lahnaviik Rasmus,Forward,200 000€
Liuksiala Jesse,Forward,215 000€
Mustonen Aleksi,Forward,245 000€
Nalli Miro,Forward,210 000€
Nikkanen Henri,Forward,365 000€
Pitkänen Kristo,Forward,220 000€
Suni Oliver,Forward,295 000€
Turunen Teemu,Forward,415 000€
Tuulola Eetu,Forward,275 000€
Virta Patrik,Forward,315 000€
Addamo Justin,Forward,260 000€
Ahonen Verneri,Forward,235 000€
Boudon Louis,Forward,265 000€
Ford Connor,Forward,335 000€
Frilander Jiro,Forward,245 000€
Hayhurst Jacob,Forward,330 000€
Horvath Bence,Forward,225 000€
Koponen Elias,Forward,240 000€
Olofsson Jesper,Forward,325 000€
Olsen Thomas,Forward,310 000€
Sjödin Linus,Forward,300 000€
Tammela Jeremi,Forward,295 000€
Costmar Arvid,Forward,280 000€
Huovila Santeri,Forward,370 000€
Huttu Elias,Forward,215 000€
Jaatinen Otto,Forward,200 000€
Korjus Julius,Forward,205 000€
Lassila Jere,Forward,375 000€
Liljamo Topias,Forward,220 000€
Mäkinen Otto,Forward,245 000€
Newkirk Reece,Forward,330 000€
Ojantakanen Valtteri,Forward,405 000€
Pesonen Harri,Forward,345 000€
Puustinen Juuso,Forward,285 000€
Torgersson Daniel,Forward,310 000€
True Alexander,Forward,325 000€
Tukiainen Leevi,Forward,435 000€
Vidgren Aaro,Forward,235 000€
From Mathias,Forward,325 000€
Hämäläinen Janne,Forward,255 000€
Järvinen Matti,Forward,280 000€
Kangasniemi Iikka,Forward,345 000€
Keinänen Juho,Forward,230 000€
Lajunen Jani,Forward,300 000€
Puolanne Elias,Forward,225 000€
Sallinen Jere,Forward,320 000€
Salovaara Eeli,Forward,200 000€
Suoniemi Tuomas,Forward,200 000€
Svejkovsky Lukas,Forward,275 000€
Talvitie Aarne,Forward,250 000€
Tuomaala Arttu,Forward,290 000€
Väisänen Jere,Forward,285 000€
Öberg Linus,Forward,330 000€
Borchardt Cade,Forward,285 000€
Hartikainen Teemu,Forward,370 000€
Jung Samuel,Forward,200 000€
Kapanen Konsta,Forward,330 000€
Klemetti Aleksi,Forward,315 000€
Kombe Kristjan,Forward,220 000€
Korkiakoski Tuukka,Forward,215 000€
Könönen Juuso,Forward,235 000€
Mäenpää Juuso,Forward,360 000€
Piitulainen Jesper,Forward,290 000€
Rissanen Jaakko,Forward,365 000€
Saarelainen Joona,Forward,285 000€
Somppi Otto,Forward,250 000€
Vilén Elias,Forward,280 000€
Davidsson Marcus,Forward,345 000€
Gallo Vilmos,Forward,320 000€
Holmström Axel,Forward,335 000€
Jaakola Ossi-Petteri,Forward,265 000€
Luoto Oskari,Forward,295 000€
Mazura Tomas,Forward,240 000€
Meskanen Ville,Forward,375 000€
Miettinen Veeti,Forward,380 000€
Miettinen Verner,Forward,220 000€
Mäkelä Manu,Forward,240 000€
Mäkinen Akseli,Forward,230 000€
Rooba Robert,Forward,340 000€
Siikonen Miska,Forward,355 000€
Sulku Santeri,Forward,245 000€
Valkeejärvi Samuel,Forward,235 000€
Antti-Roiko Aleksi,Forward,230 000€
Erholtz Eemil,Forward,345 000€
Hermonen Julius,Forward,230 000€
Hirvonen Roni,Forward,390 000€
Kantner Matyas,Forward,355 000€
Koivistoinen Eetu,Forward,350 000€
Nilsson Wiktor,Forward,265 000€
Okany Andreas,Forward,310 000€
Päkkilä Eetu,Forward,315 000€
Ratinen Samuli,Forward,305 000€
Tieksola Tuukka,Forward,255 000€
Tikka Tommi,Forward,280 000€
Törnqvist Henrik,Forward,250 000€
Viuhkola Nooa,Forward,220 000€
Beaucage Alex,Forward,400 000€
Haapanen Topias,Forward,235 000€
Hämäläinen Lenni,Forward,230 000€
Ikonen Henri,Forward,235 000€
Krannila Jami,Forward,280 000€
Liedes Heikki,Forward,315 000€
Mensonen Jasu,Forward,200 000€
Robert Felix,Forward,350 000€
Ruohomaa Mikael,Forward,390 000€
Saarela Aleksi,Forward,385 000€
Saarela Antti,Forward,370 000€
Trakht Daniil,Forward,215 000€
Tuuva Leo,Forward,255 000€
Vanninen Aapo,Forward,205 000€
Virtanen Santeri,Forward,280 000€
Batna Oskars,Forward,330 000€
Dudas Aidan,Forward,345 000€
Forsberg Christoffer,Forward,240 000€
Fortier Gabriel,Forward,335 000€
Hawel Liam,Forward,330 000€
Hämäläinen Sakke,Forward,245 000€
Karvinen Roni,Forward,315 000€
Kettunen Anton,Forward,215 000€
Kolehmainen Eerik,Forward,210 000€
Kumpula Joona,Forward,275 000€
Lind Onni,Forward,230 000€
Myklukha Oleksii,Forward,290 000€
Stapley Brett,Forward,320 000€
Teutari Eelis,Forward,225 000€
Väänänen Miro,Forward,245 000€
Bau Samu,Forward,240 000€
Emanuelsson Einar,Forward,315 000€
Fridrich Petr,Forward,360 000€
Heikkilä Juuso,Forward,250 000€
Hokkanen Otto,Forward,225 000€
Intonen Aarne,Forward,285 000€
Klintrup Eero,Forward,245 000€
Naukkarinen Janne,Forward,255 000€
Palmu Petrus,Forward,345 000€
Perttu Mikko,Forward,250 000€
Salomäki Miikka,Forward,340 000€
Siikanen Patrik,Forward,335 000€
Tauslahti Miro,Forward,220 000€
Zabaneh Nicholas,Forward,280 000€
Zemlicka Richard,Forward,205 000€
Zezelj Anze,Forward,230 000€
Bertrand Charles,Forward,320 000€
Diaco George,Forward,325 000€
Grainger Luke,Forward,295 000€
Granath Philip,Forward,280 000€
Heikkinen Lari,Forward,225 000€
Hult Oliver,Forward,220 000€
Härmä Matti,Forward,220 000€
Levänen Eetu,Forward,225 000€
Miketinac Kalle,Forward,265 000€
Nieminen Viljami,Forward,305 000€
Pietilä Benjamin,Forward,225 000€
Stråka Anton,Forward,235 000€
Sundström Johan,Forward,330 000€
Timonen Samuel,Forward,220 000€
Toivainen Waltteri,Forward,200 000€
Walther Isak,Forward,315 000€
Östman Kalle,Forward,320 000€
Blichfeld Joachim,Forward,450 000€
Fabre Dylan,Forward,365 000€
Haapala Henrik,Forward,285 000€
Lindqvist Michael,Forward,380 000€
Mattila Julius,Forward,335 000€
Nykänen Juuso,Forward,230 000€
Pavel Ondrej,Forward,245 000€
Rauhala Otto,Forward,270 000€
Rautiainen Benjamin,Forward,430 000€
Räsänen Aapeli,Forward,390 000€
Simontaival Kasper,Forward,345 000€
Suvanto Oliver,Forward,240 000€
Vanhatalo Vilho,Forward,220 000€
Wiå William,Forward,250 000€
Bryggman Lars,Forward,370 000€
Haudum Lukas,Forward,335 000€
Ikonen Joona,Forward,340 000€
Koivu Aatos,Forward,240 000€
Kuru Hannu,Forward,285 000€
Munkki Vili,Forward,225 000€
Määttä Joel,Forward,280 000€
Paajanen Otto,Forward,325 000€
Pikkarainen Kasper,Forward,245 000€
Virtanen Jeremi,Forward,205 000€
Wernblom Lukas,Forward,400 000€
Yliniemi Sisu,Forward,300 000€
Ylitalo Niklas,Forward,230 000€
Alasiurua Arttu,Forward,245 000€
Doucet Alexandre,Forward,335 000€
Hillis Cameron,Forward,320 000€
Juhola Patrik,Forward,290 000€
